Area_sqrt,Bedrooms,Bathrooms,Location,Price,
1000,2,1,Rajahmundry,"45,00,000",
1500,3,2,Hyderabad,"75,00,000",
1200,2,2,kakinada,"52,00,000",
1800,3,2,vizag,"82,00,000",
1400,2,2,Guntur,"56,00,000",
2000,4,3,Hyderabad,"1,20,00,000",
1600,3,2,Rajahmundry,"60,00,000",
2200,4,3,Vizag,"1,30,00,000",
1300,2,1,Kakinada,"48,00,000",
1700,3,2,Guntur,"65,00,000",
2500,4,3,Hyderabad,"1,50,00,000",
1900,3,2,vizag,"90,00,000",
1100,2,1,Rajahmundry,"43,00,000",
2100,4,3,Guntur,"1,10,00,000",
1550,3,2,kakinada,"58,00,000",
3000,5,4,Hyderabad,"2,00,00,000",
1750,3,2,vizag,"88,00,000",
1350,2,2,Rajahmundry,"50,00,000",
2400,4,3,Guntur,"1,25,00,000",
1600,3,2,kakinada,"60,00,000",
